Driver,Team,LapNumber,Stint,Compound,TyreLife,LapTime_sec,TrackStatus,AirTemp,TrackTemp,IsPersonalBest
SAI,Ferrari,28.0,2.0,HARD,15.0,98.474,1,26.7,29.9,False
HAM,Mercedes,28.0,2.0,HARD,16.0,98.265,1,26.7,29.9,True
ALO,Aston Martin,28.0,2.0,HARD,14.0,98.199,1,26.7,29.9,False
RUS,Mercedes,28.0,2.0,HARD,15.0,98.448,1,26.7,29.9,False
STR,Aston Martin,28.0,2.0,HARD,13.0,98.723,1,26.7,29.9,False
BOT,Alfa Romeo,28.0,2.0,HARD,17.0,99.016,1,26.7,29.9,False
SAR,Williams,28.0,2.0,SOFT,16.0,99.62,1,26.7,29.9,False
ZHO,Alfa Romeo,28.0,2.0,HARD,16.0,99.412,1,26.7,29.9,False
MAG,Haas F1 Team,28.0,2.0,HARD,13.0,99.316,1,26.7,29.9,False
ALB,Williams,28.0,3.0,HARD,2.0,97.503,1,26.7,29.9,True
GAS,Alpine,28.0,3.0,HARD,3.0,97.761,1,26.7,29.9,True
TSU,AlphaTauri,28.0,3.0,HARD,2.0,97.824,1,26.7,29.9,True
DEV,AlphaTauri,28.0,3.0,HARD,1.0,120.083,1,26.6,29.7,False
OCO,Alpine,28.0,3.0,HARD,16.0,100.026,1,26.6,29.7,False
VER,Red Bull Racing,29.0,2.0,SOFT,15.0,97.571,1,26.6,29.7,False
HUL,Haas F1 Team,28.0,3.0,HARD,2.0,96.981,1,26.6,29.7,True
PER,Red Bull Racing,29.0,2.0,SOFT,14.0,97.733,1,26.6,29.7,False
LEC,Ferrari,29.0,2.0,HARD,16.0,98.447,1,26.6,29.7,False
NOR,McLaren,28.0,4.0,MEDIUM,1.0,127.663,1,26.6,29.7,False
SAI,Ferrari,29.0,2.0,HARD,16.0,98.55,1,26.6,29.7,False
HAM,Mercedes,29.0,2.0,HARD,17.0,98.38,1,26.6,29.7,False
ALO,Aston Martin,29.0,2.0,HARD,15.0,98.585,1,26.6,29.7,False
RUS,Mercedes,29.0,2.0,HARD,16.0,98.792,1,26.6,29.7,False
STR,Aston Martin,29.0,2.0,HARD,14.0,98.71,1,26.6,29.7,False
BOT,Alfa Romeo,29.0,2.0,HARD,18.0,102.22,1,26.7,29.8,False
SAR,Williams,29.0,2.0,SOFT,17.0,99.673,1,26.7,29.8,False
ZHO,Alfa Romeo,29.0,2.0,HARD,17.0,99.361,1,26.7,29.8,False
ALB,Williams,29.0,3.0,HARD,3.0,98.127,1,26.7,29.8,False
MAG,Haas F1 Team,29.0,2.0,HARD,14.0,101.979,1,26.7,29.8,False
GAS,Alpine,29.0,3.0,HARD,4.0,98.012,1,26.7,29.8,False
TSU,AlphaTauri,29.0,3.0,HARD,3.0,97.779,1,26.7,29.8,True
DEV,AlphaTauri,29.0,3.0,HARD,2.0,98.121,1,26.7,29.8,True
VER,Red Bull Racing,30.0,2.0,SOFT,16.0,97.549,1,26.7,29.8,False
OCO,Alpine,29.0,3.0,HARD,17.0,101.181,1,26.7,29.8,False
HUL,Haas F1 Team,29.0,3.0,HARD,3.0,97.398,1,26.7,29.8,False
PER,Red Bull Racing,30.0,2.0,SOFT,15.0,97.4,1,26.7,29.8,False
LEC,Ferrari,30.0,2.0,HARD,17.0,98.39,1,26.7,29.7,False
NOR,McLaren,29.0,4.0,MEDIUM,2.0,97.26,1,26.7,29.7,True
SAI,Ferrari,30.0,2.0,HARD,17.0,98.601,1,26.7,29.7,False
ALO,Aston Martin,30.0,2.0,HARD,16.0,98.282,1,26.7,29.7,False
HAM,Mercedes,30.0,2.0,HARD,18.0,101.175,1,26.7,29.7,False
RUS,Mercedes,30.0,2.0,HARD,17.0,98.541,1,26.7,29.7,False
STR,Aston Martin,30.0,2.0,HARD,15.0,101.467,1,26.7,29.7,False
ZHO,Alfa Romeo,30.0,2.0,HARD,18.0,99.382,1,26.7,29.7,False
SAR,Williams,30.0,2.0,SOFT,18.0,102.409,1,26.7,29.7,False
BOT,Alfa Romeo,30.0,3.0,HARD,1.0,118.886,1,26.7,29.7,False
ALB,Williams,30.0,3.0,HARD,4.0,97.931,1,26.7,29.6,False
GAS,Alpine,30.0,3.0,HARD,5.0,97.76,1,26.7,29.6,True
TSU,AlphaTauri,30.0,3.0,HARD,4.0,98.147,1,26.7,29.6,False
DEV,AlphaTauri,30.0,3.0,HARD,3.0,97.709,1,26.7,29.6,True
VER,Red Bull Racing,31.0,2.0,SOFT,17.0,97.431,1,26.7,29.6,False
OCO,Alpine,30.0,3.0,HARD,18.0,99.757,1,26.7,29.6,False
MAG,Haas F1 Team,30.0,3.0,SOFT,1.0,120.933,1,26.7,29.6,False
HUL,Haas F1 Team,30.0,3.0,HARD,4.0,97.617,1,26.7,29.6,False
PER,Red Bull Racing,31.0,2.0,SOFT,16.0,97.919,1,26.7,29.6,False
LEC,Ferrari,31.0,2.0,HARD,18.0,98.746,1,26.7,29.6,False
NOR,McLaren,30.0,4.0,MEDIUM,3.0,97.605,1,26.7,29.6,False
SAI,Ferrari,31.0,2.0,HARD,18.0,101.274,1,26.7,29.6,False
ALO,Aston Martin,31.0,2.0,HARD,17.0,98.009,1,26.7,29.6,False
RUS,Mercedes,31.0,2.0,HARD,18.0,101.035,1,26.7,29.6,False
HAM,Mercedes,31.0,3.0,HARD,1.0,119.503,1,26.7,29.6,False
STR,Aston Martin,31.0,3.0,HARD,1.0,117.063,1,26.7,29.6,False
ZHO,Alfa Romeo,31.0,2.0,HARD,19.0,99.67,1,26.7,29.6,False
BOT,Alfa Romeo,31.0,3.0,HARD,2.0,97.379,1,26.7,29.6,True
ALB,Williams,31.0,3.0,HARD,5.0,98.104,1,26.7,29.6,False
GAS,Alpine,31.0,3.0,HARD,6.0,97.968,1,26.7,29.6,False
TSU,AlphaTauri,31.0,3.0,HARD,5.0,97.813,1,26.7,29.6,False
SAR,Williams,31.0,3.0,HARD,1.0,119.303,1,26.7,29.6,False
DEV,AlphaTauri,31.0,3.0,HARD,4.0,97.909,1,26.7,29.6,False
VER,Red Bull Racing,32.0,2.0,SOFT,18.0,97.691,1,26.7,29.6,False
OCO,Alpine,31.0,3.0,HARD,19.0,99.748,1,26.7,29.6,False
MAG,Haas F1 Team,31.0,3.0,SOFT,2.0,98.593,1,26.7,29.6,False
HUL,Haas F1 Team,31.0,3.0,HARD,5.0,97.891,1,26.7,29.6,False
PER,Red Bull Racing,32.0,2.0,SOFT,17.0,97.722,1,26.7,29.6,False
LEC,Ferrari,32.0,2.0,HARD,19.0,98.948,1,26.7,29.6,False
NOR,McLaren,31.0,4.0,MEDIUM,4.0,97.768,1,26.7,29.6,False
ALO,Aston Martin,32.0,2.0,HARD,18.0,97.871,1,26.7,29.6,False
SAI,Ferrari,32.0,3.0,HARD,1.0,118.492,1,26.7,29.6,False
HAM,Mercedes,32.0,3.0,HARD,2.0,97.563,1,26.7,29.6,True
STR,Aston Martin,32.0,3.0,HARD,2.0,96.546,1,26.7,29.6,True
RUS,Mercedes,32.0,3.0,HARD,1.0,118.694,1,26.7,29.6,False
BOT,Alfa Romeo,32.0,3.0,HARD,3.0,97.675,1,26.7,29.6,False
ZHO,Alfa Romeo,32.0,2.0,HARD,20.0,102.096,1,26.7,29.6,False
ALB,Williams,32.0,3.0,HARD,6.0,97.919,1,26.7,29.6,False
GAS,Alpine,32.0,3.0,HARD,7.0,98.012,1,26.7,29.6,False
TSU,AlphaTauri,32.0,3.0,HARD,6.0,98.017,1,26.7,29.6,False
SAR,Williams,32.0,3.0,HARD,2.0,97.613,1,26.7,29.6,True
DEV,AlphaTauri,32.0,3.0,HARD,5.0,97.902,1,26.7,29.6,False
VER,Red Bull Racing,33.0,2.0,SOFT,19.0,97.686,1,26.7,29.6,False
MAG,Haas F1 Team,32.0,3.0,SOFT,3.0,97.644,1,26.7,29.6,True
HUL,Haas F1 Team,32.0,3.0,HARD,6.0,97.806,1,26.7,29.6,False
OCO,Alpine,32.0,3.0,HARD,20.0,104.296,1,26.7,29.6,False
PER,Red Bull Racing,33.0,2.0,SOFT,18.0,97.869,1,26.7,29.6,False
NOR,McLaren,32.0,4.0,MEDIUM,5.0,98.111,1,26.7,29.6,False
LEC,Ferrari,33.0,2.0,HARD,20.0,101.323,1,26.7,29.6,False
ALO,Aston Martin,33.0,2.0,HARD,19.0,97.769,1,26.7,29.6,False
SAI,Ferrari,33.0,3.0,HARD,2.0,97.548,1,26.7,29.6,True
HAM,Mercedes,33.0,3.0,HARD,3.0,97.549,1,26.7,29.6,True
STR,Aston Martin,33.0,3.0,HARD,3.0,97.21,1,26.7,29.6,False
RUS,Mercedes,33.0,3.0,HARD,2.0,97.221,1,26.7,29.6,True
BOT,Alfa Romeo,33.0,3.0,HARD,4.0,97.775,1,26.7,29.6,False
ALB,Williams,33.0,3.0,HARD,7.0,98.104,1,26.7,29.6,False
GAS,Alpine,33.0,3.0,HARD,8.0,97.974,1,26.7,29.6,False
TSU,AlphaTauri,33.0,3.0,HARD,7.0,98.094,1,26.7,29.6,False
SAR,Williams,33.0,3.0,HARD,3.0,97.862,1,26.6,29.6,False
DEV,AlphaTauri,33.0,3.0,HARD,6.0,97.933,1,26.6,29.6,False
VER,Red Bull Racing,34.0,2.0,SOFT,20.0,97.839,1,26.6,29.6,False
ZHO,Alfa Romeo,33.0,3.0,SOFT,4.0,119.659,1,26.6,29.6,False
MAG,Haas F1 Team,33.0,3.0,SOFT,4.0,97.097,1,26.6,29.6,True
HUL,Haas F1 Team,33.0,3.0,HARD,7.0,97.761,1,26.6,29.6,False
PER,Red Bull Racing,34.0,2.0,SOFT,19.0,100.686,1,26.6,29.6,False
NOR,McLaren,33.0,4.0,MEDIUM,6.0,97.52,1,26.6,29.6,False
ALO,Aston Martin,34.0,2.0,HARD,20.0,100.353,1,26.6,29.6,False
LEC,Ferrari,34.0,3.0,HARD,1.0,119.477,1,26.6,29.6,False
OCO,Alpine,33.0,4.0,HARD,1.0,138.694,1,26.6,29.6,False
SAI,Ferrari,34.0,3.0,HARD,3.0,97.475,1,26.6,29.6,True
HAM,Mercedes,34.0,3.0,HARD,4.0,98.135,1,26.6,29.6,False
STR,Aston Martin,34.0,3.0,HARD,4.0,97.168,1,26.6,29.6,False
RUS,Mercedes,34.0,3.0,HARD,3.0,97.311,1,26.6,29.6,False
BOT,Alfa Romeo,34.0,3.0,HARD,5.0,97.774,1,26.6,29.6,False
ALB,Williams,34.0,3.0,HARD,8.0,97.961,1,26.6,29.6,False
GAS,Alpine,34.0,3.0,HARD,9.0,98.022,1,26.6,29.6,False
TSU,AlphaTauri,34.0,3.0,HARD,8.0,98.13,1,26.6,29.6,False
SAR,Williams,34.0,3.0,HARD,4.0,97.902,1,26.6,29.6,False
DEV,AlphaTauri,34.0,3.0,HARD,7.0,98.266,1,26.6,29.6,False
VER,Red Bull Racing,35.0,2.0,SOFT,21.0,97.85,1,26.6,29.6,False
ZHO,Alfa Romeo,34.0,3.0,SOFT,5.0,97.037,1,26.6,29.6,True
MAG,Haas F1 Team,34.0,3.0,SOFT,5.0,97.528,1,26.6,29.6,False
HUL,Haas F1 Team,34.0,3.0,HARD,8.0,97.895,1,26.7,29.6,False
NOR,McLaren,34.0,4.0,MEDIUM,7.0,97.987,1,26.7,29.6,False
PER,Red Bull Racing,35.0,3.0,HARD,1.0,118.785,1,26.7,29.6,False
LEC,Ferrari,35.0,3.0,HARD,2.0,98.073,1,26.7,29.6,False
OCO,Alpine,34.0,4.0,HARD,2.0,96.797,1,26.7,29.6,True
SAI,Ferrari,35.0,3.0,HARD,4.0,97.441,1,26.7,29.6,True
HAM,Mercedes,35.0,3.0,HARD,5.0,96.831,1,26.7,29.6,True
ALO,Aston Martin,35.0,3.0,HARD,1.0,117.389,1,26.7,29.6,False
STR,Aston Martin,35.0,3.0,HARD,5.0,97.521,1,26.7,29.6,False
RUS,Mercedes,35.0,3.0,HARD,4.0,97.592,1,26.7,29.6,False
BOT,Alfa Romeo,35.0,3.0,HARD,6.0,97.817,1,26.6,29.6,False
ALB,Williams,35.0,3.0,HARD,9.0,97.984,1,26.6,29.6,False
GAS,Alpine,35.0,3.0,HARD,10.0,98.088,1,26.6,29.6,False
TSU,AlphaTauri,35.0,3.0,HARD,9.0,98.163,1,26.6,29.6,False
SAR,Williams,35.0,3.0,HARD,5.0,98.029,1,26.6,29.6,False
DEV,AlphaTauri,35.0,3.0,HARD,8.0,98.123,1,26.6,29.6,False
ZHO,Alfa Romeo,35.0,3.0,SOFT,6.0,97.55,1,26.6,29.6,False
VER,Red Bull Racing,36.0,2.0,SOFT,22.0,100.964,1,26.6,29.6,False
MAG,Haas F1 Team,35.0,3.0,SOFT,6.0,97.46,1,26.6,29.6,False
HUL,Haas F1 Team,35.0,3.0,HARD,9.0,98.093,1,26.6,29.6,False
NOR,McLaren,35.0,4.0,MEDIUM,8.0,97.87,1,26.6,29.6,False
PER,Red Bull Racing,36.0,3.0,HARD,2.0,96.82,1,26.6,29.6,True
LEC,Ferrari,36.0,3.0,HARD,3.0,97.313,1,26.6,29.6,True
OCO,Alpine,35.0,4.0,HARD,3.0,96.964,1,26.6,29.6,False
SAI,Ferrari,36.0,3.0,HARD,5.0,97.706,1,26.6,29.6,False
HAM,Mercedes,36.0,3.0,HARD,6.0,96.546,1,26.6,29.6,True
ALO,Aston Martin,36.0,3.0,HARD,2.0,96.156,1,26.6,29.6,True
STR,Aston Martin,36.0,3.0,HARD,6.0,97.72,1,26.6,29.6,False
RUS,Mercedes,36.0,3.0,HARD,5.0,97.607,1,26.6,29.6,False
BOT,Alfa Romeo,36.0,3.0,HARD,7.0,97.827,1,26.6,29.6,False
ALB,Williams,36.0,3.0,HARD,10.0,98.176,1,26.6,29.6,False
GAS,Alpine,36.0,3.0,HARD,11.0,98.184,1,26.6,29.6,False
TSU,AlphaTauri,36.0,3.0,HARD,10.0,98.059,1,26.6,29.6,False
SAR,Williams,36.0,3.0,HARD,6.0,97.717,1,26.6,29.5,False
DEV,AlphaTauri,36.0,3.0,HARD,9.0,98.206,1,26.6,29.5,False
ZHO,Alfa Romeo,36.0,3.0,SOFT,7.0,97.957,1,26.6,29.5,False
MAG,Haas F1 Team,36.0,3.0,SOFT,7.0,97.754,1,26.6,29.5,False
HUL,Haas F1 Team,36.0,3.0,HARD,10.0,98.245,1,26.6,29.5,False
VER,Red Bull Racing,37.0,3.0,HARD,1.0,118.49,1,26.6,29.5,False
NOR,McLaren,36.0,4.0,MEDIUM,9.0,99.886,1,26.6,29.5,False
PER,Red Bull Racing,37.0,3.0,HARD,3.0,96.344,1,26.6,29.5,True
LEC,Ferrari,37.0,3.0,HARD,4.0,97.17,1,26.6,29.5,True
OCO,Alpine,36.0,4.0,HARD,4.0,97.364,1,26.6,29.5,False
SAI,Ferrari,37.0,3.0,HARD,6.0,97.13,1,26.5,29.5,True
HAM,Mercedes,37.0,3.0,HARD,7.0,97.388,1,26.5,29.5,False
ALO,Aston Martin,37.0,3.0,HARD,3.0,97.431,1,26.5,29.5,False
STR,Aston Martin,37.0,3.0,HARD,7.0,97.68,1,26.5,29.5,False
RUS,Mercedes,37.0,3.0,HARD,6.0,97.822,1,26.5,29.5,False
BOT,Alfa Romeo,37.0,3.0,HARD,8.0,97.774,1,26.5,29.5,False
ALB,Williams,37.0,3.0,HARD,11.0,98.038,1,26.5,29.5,False
GAS,Alpine,37.0,3.0,HARD,12.0,98.133,1,26.5,29.5,False
TSU,AlphaTauri,37.0,3.0,HARD,11.0,98.075,1,26.5,29.5,False
SAR,Williams,37.0,3.0,HARD,7.0,97.831,1,26.5,29.5,False
DEV,AlphaTauri,37.0,3.0,HARD,10.0,98.423,1,26.5,29.5,False
ZHO,Alfa Romeo,37.0,3.0,SOFT,8.0,98.003,1,26.5,29.5,False
MAG,Haas F1 Team,37.0,3.0,SOFT,8.0,97.998,1,26.5,29.5,False
HUL,Haas F1 Team,37.0,3.0,HARD,11.0,98.108,1,26.5,29.5,False
VER,Red Bull Racing,38.0,3.0,HARD,2.0,96.297,1,26.5,29.5,True
NOR,McLaren,37.0,4.0,MEDIUM,10.0,100.197,1,26.5,29.5,False
PER,Red Bull Racing,38.0,3.0,HARD,4.0,96.431,1,26.5,29.5,False
LEC,Ferrari,38.0,3.0,HARD,5.0,97.17,1,26.5,29.5,False
OCO,Alpine,37.0,4.0,HARD,5.0,97.338,1,26.5,29.5,False
SAI,Ferrari,38.0,3.0,HARD,7.0,97.444,1,26.5,29.5,False
ALO,Aston Martin,38.0,3.0,HARD,4.0,97.002,1,26.5,29.5,False
HAM,Mercedes,38.0,3.0,HARD,8.0,98.304,1,26.5,29.5,False
STR,Aston Martin,38.0,3.0,HARD,8.0,97.274,1,26.5,29.5,False
RUS,Mercedes,38.0,3.0,HARD,7.0,97.66,1,26.5,29.5,False
BOT,Alfa Romeo,38.0,3.0,HARD,9.0,97.658,1,26.5,29.5,False
ALB,Williams,38.0,3.0,HARD,12.0,98.33,1,26.5,29.5,False
GAS,Alpine,38.0,3.0,HARD,13.0,98.108,1,26.5,29.5,False
TSU,AlphaTauri,38.0,3.0,HARD,12.0,98.084,1,26.5,29.5,False
SAR,Williams,38.0,3.0,HARD,8.0,98.015,1,26.5,29.5,False
DEV,AlphaTauri,38.0,3.0,HARD,11.0,98.379,1,26.5,29.5,False
ZHO,Alfa Romeo,38.0,3.0,SOFT,9.0,98.422,1,26.5,29.5,False
MAG,Haas F1 Team,38.0,3.0,SOFT,9.0,98.303,1,26.5,29.5,False
HUL,Haas F1 Team,38.0,3.0,HARD,12.0,98.191,1,26.5,29.5,False
VER,Red Bull Racing,39.0,3.0,HARD,3.0,96.446,1,26.5,29.5,False
PER,Red Bull Racing,39.0,3.0,HARD,5.0,96.429,1,26.5,29.5,False
LEC,Ferrari,39.0,3.0,HARD,6.0,97.287,1,26.5,29.5,False
OCO,Alpine,38.0,4.0,HARD,6.0,97.216,1,26.5,29.5,False
SAI,Ferrari,39.0,3.0,HARD,8.0,97.403,1,26.5,29.5,False
ALO,Aston Martin,39.0,3.0,HARD,5.0,97.243,1,26.5,29.5,False
HAM,Mercedes,39.0,3.0,HARD,9.0,97.478,1,26.5,29.5,False
NOR,McLaren,38.0,5.0,HARD,1.0,128.682,1,26.5,29.5,False
STR,Aston Martin,39.0,3.0,HARD,9.0,97.456,1,26.5,29.5,False
RUS,Mercedes,39.0,3.0,HARD,8.0,97.495,1,26.5,29.5,False
BOT,Alfa Romeo,39.0,3.0,HARD,10.0,97.784,1,26.5,29.5,False
ALB,Williams,39.0,3.0,HARD,13.0,98.346,1,26.5,29.5,False
GAS,Alpine,39.0,3.0,HARD,14.0,98.537,1,26.5,29.5,False
TSU,AlphaTauri,39.0,3.0,HARD,13.0,98.419,1,26.5,29.5,False
SAR,Williams,39.0,3.0,HARD,9.0,97.971,1,26.5,29.5,False
DEV,AlphaTauri,39.0,3.0,HARD,12.0,98.535,1,26.5,29.5,False
ZHO,Alfa Romeo,39.0,3.0,SOFT,10.0,98.368,1,26.5,29.5,False
MAG,Haas F1 Team,39.0,3.0,SOFT,10.0,98.587,1,26.5,29.5,False
HUL,Haas F1 Team,39.0,3.0,HARD,13.0,98.184,1,26.5,29.5,False
VER,Red Bull Racing,40.0,3.0,HARD,4.0,96.942,1,26.5,29.5,False
PER,Red Bull Racing,40.0,3.0,HARD,6.0,97.114,1,26.5,29.5,False
LEC,Ferrari,40.0,3.0,HARD,7.0,,1,26.5,29.5,
OCO,Alpine,39.0,4.0,HARD,7.0,97.523,12,26.5,29.5,False
SAI,Ferrari,40.0,3.0,HARD,9.0,97.587,12,26.5,29.5,False
ALO,Aston Martin,40.0,3.0,HARD,6.0,97.208,12,26.5,29.5,False
HAM,Mercedes,40.0,3.0,HARD,10.0,97.494,12,26.5,29.5,False
NOR,McLaren,39.0,5.0,HARD,2.0,98.347,12,26.5,29.5,False
STR,Aston Martin,40.0,3.0,HARD,10.0,97.916,126,26.5,29.4,False
RUS,Mercedes,40.0,3.0,HARD,9.0,98.085,126,26.5,29.4,False
BOT,Alfa Romeo,40.0,3.0,HARD,11.0,110.376,126,26.5,29.4,False
ALB,Williams,40.0,3.0,HARD,14.0,110.177,126,26.5,29.4,False
GAS,Alpine,40.0,3.0,HARD,15.0,109.707,126,26.5,29.4,False
TSU,AlphaTauri,40.0,3.0,HARD,14.0,110.35,126,26.5,29.4,False
SAR,Williams,40.0,3.0,HARD,10.0,113.753,126,26.5,29.4,False
DEV,AlphaTauri,40.0,3.0,HARD,13.0,113.544,126,26.5,29.4,False
ZHO,Alfa Romeo,40.0,3.0,SOFT,11.0,113.456,126,26.5,29.4,False
MAG,Haas F1 Team,40.0,3.0,SOFT,11.0,117.797,126,26.5,29.3,False
HUL,Haas F1 Team,40.0,3.0,HARD,14.0,118.689,126,26.5,29.3,False
VER,Red Bull Racing,41.0,3.0,HARD,5.0,120.495,126,26.5,29.3,False
PER,Red Bull Racing,41.0,3.0,HARD,7.0,123.522,126,26.5,29.3,False
OCO,Alpine,40.0,4.0,HARD,8.0,128.023,2671,26.5,29.3,False
SAI,Ferrari,41.0,3.0,HARD,10.0,126.436,2671,26.5,29.4,False
ALO,Aston Martin,41.0,3.0,HARD,7.0,126.713,2671,26.5,29.4,False
HAM,Mercedes,41.0,3.0,HARD,11.0,126.491,2671,26.5,29.4,False
NOR,McLaren,40.0,5.0,HARD,3.0,127.97,2671,26.5,29.4,False
STR,Aston Martin,41.0,3.0,HARD,11.0,126.809,671,26.5,29.4,False
RUS,Mercedes,41.0,3.0,HARD,10.0,126.293,671,26.5,29.4,False
BOT,Alfa Romeo,41.0,3.0,HARD,12.0,115.281,671,26.5,29.4,False
ALB,Williams,41.0,4.0,SOFT,1.0,128.659,671,26.5,29.4,False
GAS,Alpine,41.0,4.0,SOFT,1.0,128.544,671,26.5,29.4,False
DEV,AlphaTauri,41.0,3.0,HARD,14.0,114.359,671,26.5,29.4,False
ZHO,Alfa Romeo,41.0,3.0,SOFT,12.0,112.5,671,26.5,29.4,False
TSU,AlphaTauri,41.0,4.0,SOFT,4.0,130.782,671,26.5,29.4,False
SAR,Williams,41.0,4.0,SOFT,1.0,125.614,671,26.5,29.4,False
VER,Red Bull Racing,42.0,3.0,HARD,6.0,104.824,671,26.4,29.3,False
MAG,Haas F1 Team,41.0,4.0,SOFT,1.0,122.547,671,26.4,29.3,False
PER,Red Bull Racing,42.0,3.0,HARD,8.0,99.657,671,26.4,29.3,False
HUL,Haas F1 Team,41.0,4.0,SOFT,4.0,125.275,671,26.4,29.3,False
SAI,Ferrari,42.0,3.0,HARD,11.0,97.375,1,26.4,29.3,False
ALO,Aston Martin,42.0,3.0,HARD,8.0,96.334,1,26.4,29.3,False
